Player1Name,ThisBrowserPlayerNumber,PieceSelection,P1PieceColor,Flow,Player,Start Phase,Action,Result Phase,State Data Available,URL Containyan,1,,,Random+Light,P1,mode-selection,select URL mode,setup,mode: url,N/A,
,1,,,Random+Light,P1,setup,enter name (Ryan),setup,mode: url,N/A,
,1,,,Random+Light,P1,setup,click continue,color-selection,mode: url,N/A,
Ryan,1,,,Random+Light,P1,color-selection,choose light,piece-selection,mode: url; player1Name: Ryan,N/A,
Ryan,1,,Light,Random+Light,P1,piece-selection,choose random,piece-selection,mode: url; player1Name: Ryan; player1Color: light,N/A,Both pieces auto-generated
Ryan,1,Random,Light,Random+Light,P1,piece-selection,start game,playing,mode: url; player1Name: Ryan; player2Name: ''; player1Color: light; selectionMode: random; gameState: complete board,N/A,P1 is light so goes to playing
Ryan,1,Random,Light,Random+Light,P1,playing,make move,playing,gameState: after move,N/A,
Ryan,1,Random,Light,Random+Light,P1,playing,confirm move,handoff,gameState: after move; generatedUrl: null,N/A,Transition to handoff
Ryan,1,Random,Light,Random+Light,P1,handoff,URL generated,handoff,gameState: after move; generatedUrl: <url>,Full gameState + playerName: Ryan,Shows URLSharer
Ryan,1,Random,Light,Random+Light,P2,N/A,open URL,handoff,player1Name: Ryan; player2Name: ''; gameState: complete board; generatedUrl: null,Full gameState,LOAD_FROM_URL dispatched
Ryan,1,Random,Light,Random+Light,P2,handoff,enter name (Ted),handoff,player1Name: Ryan; player2Name: Ted; gameState: complete board,N/A,
Ryan,1,Random,Light,Random+Light,P2,handoff,start playing,playing,player1Name: Ryan; player2Name: Ted; gameState: complete board,N/A,COMPLETE_HANDOFF dispatched
Ryan,1,Random,Light,Random+Light,P2,playing,make move,playing,gameState: after P2 move,N/A,
Ryan,1,Random,Light,Random+Light,P2,playing,confirm move,handoff,gameState: after P2 move; generatedUrl: null,N/A,
Ryan,1,Random,Light,Random+Light,P2,handoff,URL generated,handoff,gameState: after P2 move; generatedUrl: <url>,Delta or Full gameState + playerName: Ted,
Ryan,1,Random,Light,Random+Light,P1,N/A,open URL,playing,player1Name: Ryan; player2Name: Ted; gameState: after P2 move,Delta or Full gameState,P1 has saved name; goes to playing

Ryan,0,Random,Dark,Random+Dark,P1,mode-selection,select URL mode,setup,mode: url,N/A,
Ryan,0,Random,Dark,Random+Dark,P1,setup,enter name (Ryan),setup,mode: url; player1Name: Ryan,N/A,
Ryan,0,Random,Dark,Random+Dark,P1,setup,click continue,color-selection,mode: url; player1Name: Ryan,N/A,
Ryan,0,Random,Dark,Random+Dark,P1,color-selection,choose dark,piece-selection,mode: url; player1Name: Ryan; player1Color: dark,N/A,
Ryan,0,Random,Dark,Random+Dark,P1,piece-selection,choose random,piece-selection,mode: url; player1Name: Ryan; player1Color: dark; selectionMode: random,N/A,Both pieces auto-generated
Ryan,0,Random,Dark,Random+Dark,P1,piece-selection,start game,handoff,mode: url; player1Name: Ryan; player2Name: ''; player1Color: dark; gameState: complete board; generatedUrl: null,N/A,P1 is dark so P2 will move first; goes to handoff
Ryan,0,Random,Dark,Random+Dark,P1,handoff,URL generated,handoff,gameState: complete board; generatedUrl: <url>,Full gameState + playerName: Ryan,Shows URLSharer (no moves yet)
Ryan,0,Random,Dark,Random+Dark,P2,N/A,open URL,handoff,player1Name: Ryan; player2Name: ''; gameState: complete board; generatedUrl: null,Full gameState,LOAD_FROM_URL dispatched
Ryan,0,Random,Dark,Random+Dark,P2,handoff,enter name (Ted),handoff,player1Name: Ryan; player2Name: Ted; gameState: complete board,N/A,
Ryan,0,Random,Dark,Random+Dark,P2,handoff,start playing,playing,player1Name: Ryan; player2Name: Ted; gameState: complete board,N/A,COMPLETE_HANDOFF dispatched; P2 is light and moves first
Ryan,0,Random,Dark,Random+Dark,P2,playing,make move,playing,gameState: after P2 first move,N/A,
Ryan,0,Random,Dark,Random+Dark,P2,playing,confirm move,handoff,gameState: after P2 move; generatedUrl: null,N/A,
Ryan,0,Random,Dark,Random+Dark,P2,handoff,URL generated,handoff,gameState: after P2 move; generatedUrl: <url>,Full gameState (turn 1) or Delta + playerName: Ted,
Ryan,0,Random,Dark,Random+Dark,P1,N/A,open URL,playing,player1Name: Ryan; player2Name: Ted; gameState: after P2 move,Full gameState or Delta,P1 has saved name; goes to playing

Ryan,0,Mirrored,Light,Mirrored+Light,P1,mode-selection,select URL mode,setup,mode: url,N/A,
Ryan,0,Mirrored,Light,Mirrored+Light,P1,setup,enter name (Ryan),setup,mode: url; player1Name: Ryan,N/A,
Ryan,0,Mirrored,Light,Mirrored+Light,P1,setup,click continue,color-selection,mode: url; player1Name: Ryan,N/A,
Ryan,0,Mirrored,Light,Mirrored+Light,P1,color-selection,choose light,piece-selection,mode: url; player1Name: Ryan; player1Color: light,N/A,
Ryan,0,Mirrored,Light,Mirrored+Light,P1,piece-selection,choose mirrored,piece-selection,mode: url; player1Name: Ryan; player1Color: light; selectionMode: mirrored,N/A,
Ryan,0,Mirrored,Light,Mirrored+Light,P1,piece-selection,select 3 pieces,piece-selection,mode: url; player1Name: Ryan; player1Color: light; selectionMode: mirrored; player1Pieces: [rook knight queen]; player2Pieces: [rook knight queen],N/A,Both pieces set (mirrored)
Ryan,0,Mirrored,Light,Mirrored+Light,P1,piece-selection,start game,playing,mode: url; player1Name: Ryan; player2Name: ''; gameState: complete board,N/A,P1 is light so goes to playing
Ryan,0,Mirrored,Light,Mirrored+Light,P1,playing,make move,playing,gameState: after move,N/A,
Ryan,0,Mirrored,Light,Mirrored+Light,P1,playing,confirm move,handoff,gameState: after move; generatedUrl: null,N/A,
Ryan,0,Mirrored,Light,Mirrored+Light,P1,handoff,URL generated,handoff,gameState: after move; generatedUrl: <url>,Full gameState + playerName: Ryan,Shows URLSharer
Ryan,0,Mirrored,Light,Mirrored+Light,P2,N/A,open URL,handoff,player1Name: Ryan; player2Name: ''; gameState: complete board; generatedUrl: null,Full gameState,LOAD_FROM_URL dispatched
Ryan,0,Mirrored,Light,Mirrored+Light,P2,handoff,enter name (Ted),handoff,player1Name: Ryan; player2Name: Ted; gameState: complete board,N/A,
